,cim,count
0,A000,0
1,A009,0
2,A010,139
3,A011,0
4,A012,0
5,A013,0
6,A014,0
7,A020,2996
8,A021,228
9,A022,40
10,A028,79
11,A029,303
12,A030,24
13,A031,69
14,A033,66
15,A038,28
16,A039,64
17,A040,87
18,A041,11
19,A042,21
20,A043,13
21,A044,166
22,A045,3151
23,A046,155
24,A047,7430
25,A048,560
26,A049,276
27,A050,51
28,A051,21
29,A052,0
30,A053,0
31,A054,0
32,A058,314
33,A059,1073
34,A060,39
35,A061,48
36,A062,11
37,A064,87
38,A065,0
39,A068,0
40,A069,0
41,A071,95
42,A072,41
43,A073,13
44,A078,20
45,A079,0
46,A080,15134
47,A081,189
48,A082,1916
49,A083,3413
50,A084,11839
51,A085,259
52,A090,43753
53,A099,24175
54,A150,1423
55,A151,472
56,A152,404
57,A153,278
58,A154,214
59,A155,24
60,A156,170
61,A157,42
62,A158,86
63,A159,134
64,A160,173
65,A161,120
66,A162,752
67,A163,173
68,A164,0
69,A165,156
70,A167,120
71,A168,89
72,A169,96
73,A170,70
74,A171,0
75,A178,27
76,A179,16
77,A180,111
78,A181,53
79,A182,384
80,A183,167
81,A184,47
82,A185,36
83,A186,0
84,A187,0
85,A188,94
86,A190,35
87,A191,77
88,A192,33
89,A198,30
90,A199,64
91,A210,0
92,A212,0
93,A217,0
94,A218,0
95,A219,12
96,A230,0
97,A231,0
98,A238,0
99,A239,0
100,A241,0
101,A242,0
102,A251,0
103,A259,0
104,A260,180
105,A267,0
106,A268,11
107,A269,24
108,A270,90
109,A278,106
110,A279,161
111,A280,191
112,A281,356
113,A282,0
114,A288,0
115,A300,0
116,A301,0
117,A305,13
118,A308,0
119,A309,0
120,A310,482
121,A311,50
122,A318,93
123,A319,57
124,A321,95
125,A327,95
126,A328,23
127,A329,17
128,A35,19
129,A360,53
130,A363,0
131,A368,0
132,A369,0
133,A370,180
134,A371,20
135,A378,13
136,A379,156
137,A38,380
138,A390,246
139,A392,94
140,A393,0
141,A394,21
142,A398,20
143,A399,0
144,A400,360
145,A401,381
146,A402,630
147,A403,524
148,A408,1007
149,A409,299
150,A410,3983
151,A411,3549
152,A412,450
153,A413,79
154,A414,333
155,A415,10212
156,A418,3324
157,A419,4098
158,A420,57
159,A421,31
160,A422,24
161,A427,0
162,A428,58
163,A429,16
164,A430,56
165,A431,0
166,A438,16
167,A439,13
168,A440,20
169,A441,13
170,A448,36
171,A449,26
172,A46,31388
173,A480,228
174,A481,878
175,A482,0
176,A483,131
177,A488,62
178,A500,0
179,A501,0
180,A502,0
181,A504,0
182,A509,0
183,A510,26
184,A511,0
185,A512,15
186,A513,77
187,A514,73
188,A515,15
189,A519,12
190,A520,0
191,A521,100
192,A522,0
193,A523,34
194,A527,23
195,A528,52
196,A529,16
197,A530,32
198,A539,32
199,A540,44
200,A541,47
201,A542,33
202,A543,0
203,A544,12
204,A546,0
205,A548,16
206,A55,0
207,A560,36
208,A561,76
209,A562,19
210,A563,20
211,A568,0
212,A58,39
213,A590,0
214,A600,216
215,A601,29
216,A609,42
217,A6300,5631
218,A6308,5815
219,A638,54
220,A65,0
221,A661,0
222,A662,0
223,A663,11
224,A664,0
225,A665,0
226,A666,0
227,A672,0
228,A679,0
229,A681,18
230,A689,42
231,A690,25
232,A691,104
233,A692,800
234,A698,0
235,A699,0
236,A70,0
237,A740,0
238,A748,20
239,A749,0
240,A750,0
241,A752,0
242,A753,0
243,A759,0
244,A771,37
245,A772,0
246,A778,0
247,A779,0
248,A78,179
249,A790,0
250,A791,0
251,A798,22
252,A799,16
253,A803,0
254,A809,0
255,A810,122
256,A811,0
257,A812,160
258,A818,0
259,A819,0
260,A829,0
261,A830,0
262,A841,0
263,A848,0
264,A849,0
265,A850,34
266,A851,0
267,A852,0
268,A858,83
269,A86,162
270,A870,1844
271,A871,0
272,A872,398
273,A878,1178
274,A879,1022
275,A880,0
276,A881,36
277,A888,0
278,A89,11
279,A90,176
280,A91,12
281,A920,124
282,A922,0
283,A923,0
284,A924,0
285,A928,0
286,A929,0
287,A938,0
288,A94,17
289,A959,0
290,A985,77
291,A988,0
292,A99,0
293,B000,161
294,B001,141
295,B002,1383
296,B003,130
297,B004,189
298,B005,99
299,B007,24
300,B008,96
301,B009,38
302,B010,35
303,B011,69
304,B012,95
305,B018,868
306,B019,982
307,B020,40
308,B021,45
309,B022,362
310,B023,556
311,B027,149
312,B028,511
313,B029,1140
314,B050,0
315,B052,11
316,B054,0
317,B058,12
318,B059,62
319,B068,0
320,B069,0
321,B07,2324
322,B080,0
323,B081,319
324,B082,308
325,B083,67
326,B084,289
327,B085,269
328,B088,119
329,B09,256
