Libellé;reg;type;age;nbsej;DMS;;;;;;;;;;;;
Ile-de-France;11;0;0;330420;4,4;;;;;;;;;;;;
Champagne-Ardenne;44;0;0;29613;4,1;;;;;;;;;;;;
Picardie;31;0;0;40857;4,3;;;;;;;;;;;;
Haute-Normandie;29;0;0;41197;4,1;;;;;;;;;;;;
Centre;24;0;0;49638;4,3;;;;;;;;;;;;
Basse-Normandie;28;0;0;32872;4;;;;;;;;;;;;
Bourgogne;26;0;0;30236;4,2;;;;;;;;;;;;
Nord-Pas-de-Calais;32;0;0;113926;3,9;;;;;;;;;;;;
Lorraine;45;0;0;50071;4,1;;;;;;;;;;;;
Alsace;46;0;0;41056;4;;;;;;;;;;;;
Franche-Comté;27;0;0;25800;4,1;;;;;;;;;;;;
Pays-de-Loire;52;0;0;80433;3,9;;;;;;;;;;;;
Bretagne;53;0;0;63121;4,2;;;;;;;;;;;;
Poitou-Charentes;75;0;0;29928;4;;;;;;;;;;;;
Aquitaine;73;0;0;69526;3,8;;;;;;;;;;;;
Midi-Pyrénées;76;0;0;61056;3,6;;;;;;;;;;;;
Limousin;74;0;0;14085;4,1;;;;;;;;;;;;
Rhône-Alpes;84;0;0;156856;4;;;;;;;;;;;;
Auvergne;85;0;0;24038;4,1;;;;;;;;;;;;
Languedoc-Roussillon;77;0;0;57793;3,8;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;0;0;113535;3,9;;;;;;;;;;;;
Corse;94;0;0;5379;3,6;;;;;;;;;;;;
Guadeloupe;1;0;0;10009;4,4;;;;;;;;;;;;
Martinique;2;0;0;8228;4,6;;;;;;;;;;;;
Guyane;3;0;0;12256;5,3;;;;;;;;;;;;
Réunion;4;0;0;25195;4,7;;;;;;;;;;;;
Mayotte;6;0;0;13187;4,8;;;;;;;;;;;;
Ile-de-France;11;0;17;110293;3,4;;;;;;;;;;;;
Champagne-Ardenne;44;0;17;11962;3,2;;;;;;;;;;;;
Picardie;31;0;17;15722;3,5;;;;;;;;;;;;
Haute-Normandie;29;0;17;16694;3,3;;;;;;;;;;;;
Centre;24;0;17;18683;3,4;;;;;;;;;;;;
Basse-Normandie;28;0;17;11964;3,3;;;;;;;;;;;;
Bourgogne;26;0;17;13194;3,2;;;;;;;;;;;;
Nord-Pas-de-Calais;32;0;17;46382;3,1;;;;;;;;;;;;
Lorraine;45;0;17;20936;3,3;;;;;;;;;;;;
Alsace;46;0;17;16226;3,2;;;;;;;;;;;;
Franche-Comté;27;0;17;9627;3,2;;;;;;;;;;;;
Pays-de-Loire;52;0;17;29787;3,1;;;;;;;;;;;;
Bretagne;53;0;17;24587;3,1;;;;;;;;;;;;
Poitou-Charentes;75;0;17;12752;3,1;;;;;;;;;;;;
Aquitaine;73;0;17;29363;2,8;;;;;;;;;;;;
Midi-Pyrénées;76;0;17;25606;2,8;;;;;;;;;;;;
Limousin;74;0;17;6086;3,2;;;;;;;;;;;;
Rhône-Alpes;84;0;17;57412;3,1;;;;;;;;;;;;
Auvergne;85;0;17;10343;3;;;;;;;;;;;;
Languedoc-Roussillon;77;0;17;24989;3,2;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;0;17;47736;3,1;;;;;;;;;;;;
Corse;94;0;17;2383;2,9;;;;;;;;;;;;
Guadeloupe;1;0;17;4850;3,4;;;;;;;;;;;;
Martinique;2;0;17;3880;3,6;;;;;;;;;;;;
Guyane;3;0;17;5701;4,6;;;;;;;;;;;;
Réunion;4;0;17;12776;3,5;;;;;;;;;;;;
Mayotte;6;0;17;5468;4;;;;;;;;;;;;
Ile-de-France;11;0;26;446514;3,8;;;;;;;;;;;;
Champagne-Ardenne;44;0;26;38757;3,7;;;;;;;;;;;;
Picardie;31;0;26;51777;3,7;;;;;;;;;;;;
Haute-Normandie;29;0;26;55100;3,7;;;;;;;;;;;;
Centre;24;0;26;64523;3,8;;;;;;;;;;;;
Basse-Normandie;28;0;26;38606;3,7;;;;;;;;;;;;
Bourgogne;26;0;26;45022;3,7;;;;;;;;;;;;
Nord-Pas-de-Calais;32;0;26;142870;3,6;;;;;;;;;;;;
Lorraine;45;0;26;68583;3,7;;;;;;;;;;;;
Alsace;46;0;26;58296;3,7;;;;;;;;;;;;
Franche-Comté;27;0;26;32251;3,6;;;;;;;;;;;;
Pays-de-Loire;52;0;26;106637;3,5;;;;;;;;;;;;
Bretagne;53;0;26;88567;3,7;;;;;;;;;;;;
Poitou-Charentes;75;0;26;42100;3,5;;;;;;;;;;;;
Aquitaine;73;0;26;98550;3,4;;;;;;;;;;;;
Midi-Pyrénées;76;0;26;88139;3,4;;;;;;;;;;;;
Limousin;74;0;26;21449;3,7;;;;;;;;;;;;
Rhône-Alpes;84;0;26;208998;3,7;;;;;;;;;;;;
Auvergne;85;0;26;34348;3,5;;;;;;;;;;;;
Languedoc-Roussillon;77;0;26;81956;3,6;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;0;26;164708;3,6;;;;;;;;;;;;
Corse;94;0;26;8468;3,6;;;;;;;;;;;;
Guadeloupe;1;0;26;13905;3,7;;;;;;;;;;;;
Martinique;2;0;26;10721;4;;;;;;;;;;;;
Guyane;3;0;26;11337;5,5;;;;;;;;;;;;
Réunion;4;0;26;31099;3,7;;;;;;;;;;;;
Mayotte;6;0;26;8923;4,7;;;;;;;;;;;;
Ile-de-France;11;0;46;205004;4,4;;;;;;;;;;;;
Champagne-Ardenne;44;0;46;23326;4,3;;;;;;;;;;;;
Picardie;31;0;46;29629;4,3;;;;;;;;;;;;
Haute-Normandie;29;0;46;29750;4;;;;;;;;;;;;
Centre;24;0;46;37181;4,2;;;;;;;;;;;;
