Région;reg;type;nbsej;DMS;nbpatients
Ile-de-France;11;0;1981144;5,2;2175307
Champagne-Ardenne;44;0;229140;5,4;251215
Picardie;31;0;295604;5,5;314974
Haute-Normandie;29;0;291602;5,1;327084
Centre;24;0;396279;5,6;434793
Basse-Normandie;28;0;254314;5,7;275737
Bourgogne;26;0;297341;5,7;314303
Nord-Pas-de-Calais;32;0;747666;5;824292
Lorraine;45;0;419225;5,5;441978
Alsace;46;0;337739;5,4;362577
Franche-Comté;27;0;187790;5,6;206133
Pays-de-Loire;52;0;605398;4,9;708111
Bretagne;53;0;546358;5,5;587842
Poitou-Charentes;75;0;282151;5,3;324783
Aquitaine;73;0;595966;5;681170
Midi-Pyrénées;76;0;518131;4,8;572129
Limousin;74;0;148366;5,7;153857
Rhône-Alpes;84;0;1109051;5,2;1209926
Auvergne;85;0;237996;5,8;255455
Languedoc-Roussillon;77;0;481717;5,1;545628
Provence-Alpes-Côte-d Azur;93;0;942968;5,1;1070398
Corse;94;0;47425;5,1;59863
Guadeloupe;1;0;64995;4,8;68938
Martinique;2;0;53036;5,6;57711
Guyane;3;0;37589;6;32984
Réunion;4;0;132563;4,7;132730
Mayotte;6;0;29863;5,1;12623
Ile-de-France;11;1;1304404;0,1;2175307
Champagne-Ardenne;44;1;137469;0,1;251215
Picardie;31;1;160916;0,2;314974
Haute-Normandie;29;1;199000;0,2;327084
Centre;24;1;229339;0,2;434793
Basse-Normandie;28;1;158240;0,2;275737
Bourgogne;26;1;178249;0,2;314303
Nord-Pas-de-Calais;32;1;531741;0,1;824292
Lorraine;45;1;258076;0,1;441978
Alsace;46;1;215157;0,1;362577
Franche-Comté;27;1;111383;0,2;206133
Pays-de-Loire;52;1;422358;0,1;708111
Bretagne;53;1;319910;0,2;587842
Poitou-Charentes;75;1;183097;0,2;324783
Aquitaine;73;1;439041;0,1;681170
Midi-Pyrénées;76;1;332733;0,1;572129
Limousin;74;1;75424;0,2;153857
Rhône-Alpes;84;1;681197;0,1;1209926
Auvergne;85;1;137515;0,2;255455
Languedoc-Roussillon;77;1;328429;0,1;545628
Provence-Alpes-Côte-d Azur;93;1;678007;0,1;1070398
Corse;94;1;35958;0,2;59863
Guadeloupe;1;1;40128;0,1;68938
Martinique;2;1;28225;0,2;57711
Guyane;3;1;7969;0,2;32984
Réunion;4;1;66794;0,2;132730
Mayotte;6;1;5636;0,2;12623
Ile-de-France;11;2;1828865;0;2175307
Champagne-Ardenne;44;2;177755;0;251215
Picardie;31;2;249436;0;314974
Haute-Normandie;29;2;252535;0;327084
Centre;24;2;331549;0;434793
Basse-Normandie;28;2;211413;0;275737
Bourgogne;26;2;221657;0;314303
Nord-Pas-de-Calais;32;2;598949;0;824292
Lorraine;45;2;331055;0;441978
Alsace;46;2;417792;0;362577
Franche-Comté;27;2;158917;0;206133
Pays-de-Loire;52;2;593851;0;708111
Bretagne;53;2;544951;0;587842
Poitou-Charentes;75;2;229208;0;324783
Aquitaine;73;2;491862;0;681170
Midi-Pyrénées;76;2;384372;0;572129
Limousin;74;2;138466;0;153857
Rhône-Alpes;84;2;788756;0;1209926
Auvergne;85;2;207317;0;255455
Languedoc-Roussillon;77;2;425880;0;545628
Provence-Alpes-Côte-d Azur;93;2;962902;0;1070398
Corse;94;2;45680;0;59863
Guadeloupe;1;2;125740;0;68938
Martinique;2;2;92131;0;57711
Guyane;3;2;23978;0;32984
Réunion;4;2;153947;0;132730
Mayotte;6;2;10346;0;12623
